code,name
1503,奈良地方法務局五條支局
1510,奈良地方法務局桜井支局
1512,奈良地方法務局橿原出張所
1600,大津地方法務局
1601,大津地方法務局甲賀支局
1602,大津地方法務局彦根支局
1603,大津地方法務局長浜支局
1605,大津地方法務局草津出張所
1606,大津地方法務局守山出張所
1608,大津地方法務局高島出張所
1617,大津地方法務局東近江出張所
1700,和歌山地方法務局
1702,和歌山地方法務局田辺支局
1703,和歌山地方法務局御坊支局
1704,和歌山地方法務局新宮支局
1708,和歌山地方法務局湯浅出張所
1711,和歌山地方法務局岩出出張所
1716,和歌山地方法務局橋本支局
1800,名古屋法務局
1801,名古屋法務局一宮支局
1802,名古屋法務局半田支局
1803,名古屋法務局岡崎支局
1804,名古屋法務局豊橋支局
1805,名古屋法務局新城支局
1806,名古屋法務局熱田出張所
1811,名古屋法務局春日井支局
1814,名古屋法務局津島支局
1827,名古屋法務局刈谷支局
1831,名古屋法務局西尾支局
1836,名古屋法務局豊田支局
1840,名古屋法務局豊川出張所
1844,名古屋法務局名東出張所
1900,津地方法務局
1901,津地方法務局松阪支局
1902,津地方法務局伊賀支局
1903,津地方法務局四日市支局
1904,津地方法務局伊勢支局
1905,津地方法務局熊野支局
1906,津地方法務局鈴鹿出張所
1923,津地方法務局桑名支局
1934,津地方法務局尾鷲出張所
2000,岐阜地方法務局
2001,岐阜地方法務局八幡支局
2002,岐阜地方法務局大垣支局
2004,岐阜地方法務局多治見支局
2005,岐阜地方法務局高山支局
2017,岐阜地方法務局関出張所
2030,岐阜地方法務局美濃加茂支局
2035,岐阜地方法務局中津川支局
2100,福井地方法務局
2101,福井地方法務局武生支局
2103,福井地方法務局敦賀支局
2104,福井地方法務局小浜支局
2200,金沢地方法務局
2201,金沢地方法務局小松支局
2202,金沢地方法務局七尾支局
2203,金沢地方法務局輪島支局
2209,金沢地方法務局金沢西出張所
2300,富山地方法務局
2301,富山地方法務局魚津支局
2302,富山地方法務局高岡支局
2303,富山地方法務局砺波支局
2400,広島法務局
2401,広島法務局呉支局
2402,広島法務局竹原支局
2403,広島法務局尾道支局
2404,広島法務局福山支局
2405,広島法務局三次支局
2407,広島法務局海田出張所
2409,広島法務局可部出張所
2416,広島法務局廿日市支局
2420,広島法務局東広島支局
2434,広島法務局三原出張所
2500,山口地方法務局
2501,山口地方法務局周南支局
2502,山口地方法務局萩支局
2503,山口地方法務局岩国支局
2504,山口地方法務局下関支局
2505,山口地方法務局宇部支局
2525,山口地方法務局柳井出張所
2600,岡山地方法務局
2602,岡山地方法務局笠岡支局
2603,岡山地方法務局高梁支局
2605,岡山地方法務局津山支局
2607,岡山地方法務局真庭支局
2612,岡山地方法務局備前支局
2619,岡山地方法務局倉敷支局
2644,岡山地方法務局岡山西出張所
2700,鳥取地方法務局
2701,鳥取地方法務局倉吉支局
2702,鳥取地方法務局米子支局
2800,松江地方法務局
2801,松江地方法務局雲南支局
2802,松江地方法務局出雲支局
2803,松江地方法務局浜田支局
2804,松江地方法務局益田支局
2806,松江地方法務局西郷支局
2900,福岡法務局
2901,福岡法務局朝倉支局
2902,福岡法務局飯塚支局
2903,福岡法務局直方支局
2904,福岡法務局久留米支局
2905,福岡法務局吉井支局
2906,福岡法務局柳川支局
2907,福岡法務局八女支局
2908,福岡法務局北九州支局
2909,福岡法務局行橋支局
2910,福岡法務局田川支局
2911,福岡法務局西新出張所
2912,福岡法務局筑紫支局
2914,福岡法務局箱崎出張所
2915,福岡法務局粕屋出張所
2917,福岡法務局福間出張所
2935,福岡法務局八幡出張所
3000,佐賀地方法務局
3001,佐賀地方法務局武雄支局
3002,佐賀地方法務局伊万里支局
3003,佐賀地方法務局唐津支局
3011,佐賀地方法務局鳥栖出張所
3100,長崎地方法務局
3102,長崎地方法務局島原支局
3103,長崎地方法務局佐世保支局
3104,長崎地方法務局平戸支局
3105,長崎地方法務局壱岐支局
3106,長崎地方法務局五島支局
3107,長崎地方法務局対馬支局
3117,長崎地方法務局諫早支局
3200,大分地方法務局
3201,大分地方法務局杵築支局
3202,大分地方法務局臼杵支局
3203,大分地方法務局佐伯支局
3204,大分地方法務局竹田支局
3205,大分地方法務局中津支局
3207,大分地方法務局日田支局
3208,大分地方法務局鶴崎出張所
3213,大分地方法務局別府出張所
3231,大分地方法務局宇佐支局
3300,熊本地方法務局
3302,熊本地方法務局玉名支局
3303,熊本地方法務局御船支局
3304,熊本地方法務局山鹿支局
3305,熊本地方法務局阿蘇支局
3306,熊本地方法務局八代支局
3307,熊本地方法務局人吉支局
3308,熊本地方法務局天草支局
3311,熊本地方法務局大津出張所
3315,熊本地方法務局宇土支局
3400,鹿児島地方法務局
3402,鹿児島地方法務局知覧支局
3403,鹿児島地方法務局川内支局
3404,鹿児島地方法務局鹿屋支局
3405,鹿児島地方法務局奄美支局
3409,鹿児島地方法務局種子島出張所
3411,鹿児島地方法務局屋久島出張所
3416,鹿児島地方法務局霧島支局
3422,鹿児島地方法務局南さつま出張所
3431,鹿児島地方法務局出水出張所
3442,鹿児島地方法務局曽於出張所
3450,鹿児島地方法務局徳之島出張所
3453,鹿児島地方法務局沖永良部出張所
3455,鹿児島地方法務局与論出張所
3500,宮崎地方法務局
3501,宮崎地方法務局日南支局
3502,宮崎地方法務局都城支局
3503,宮崎地方法務局延岡支局
3507,宮崎地方法務局高鍋出張所
3523,宮崎地方法務局小林出張所
